barcode,name,price,details,date_added,quantity
9789386905048,Paavangal,350.0,,2025-11-29T17:06:24.098167,5
9789391899486,KAMALA SURAYYA,199.0,,2025-11-29T17:23:03.138098,103
9788126421367,Daya enna penkutty,150.0,,2025-11-29T17:25:08.016362,3
9788182719026,Bilal,130.0,,2025-11-29T21:27:47.254481,1
